fiant	fīō 생기다 (접속법 3인칭 복수 현재) — "생겨라"
fiat	fīō 생기다 (접속법 3인칭 단수 현재) — "생겨라"
firmamento	firmāmentum 궁창 (단수 탈격)
firmamentum	firmāmentum 궁창 (단수 주격·대격)
fructum	frūctus 열매 (단수 대격)
genere	genus 종류 (단수 탈격)
generis	genus 종류 (단수 속격)
genus	genus 종류 (중성 단수 주격·대격)
germinet	germinō 싹틔우다 (접속법 3인칭 단수 현재) — "돋게 하라"
grandia	grandis 큰 (중성 복수 대격)
habeant	habeō 가지다 (접속법 3인칭 복수 현재)
habens	habeō 가지다 (현재분사 주격)
habent	habeō 가지다 (3인칭 복수 현재)
herbam	herba 풀 (단수 대격)
his	hic 이것 (복수 여격·탈격)
hominem	homō 사람 (단수 대격)
illis	ille 그들 (복수 여격)
illum	ille 그 (남성 단수 대격)
illuminent	illūminō 비추다 (접속법 3인칭 복수 현재)
imaginem	imāgō 모습·형상 (단수 대격)
in	~안에 (탈격 지배) / ~로, ~으로서 (대격 지배)
inanis	inānis 텅 빈 (여성 단수 주격)
ita	그렇게, 그와 같이
jumenta	iūmentum 가축 (중성 복수 대격)
juxta	~에 따라 (전치사, 대격 지배)
ligna	lignum 나무 (중성 복수 대격)
lignum	lignum 나무 (중성 단수 주격·대격)
lignumque	그리고 나무를
locum	locus 곳 (단수 대격)
luceant	lūceō 빛나다 (접속법 3인칭 복수 현재)
lucem	lūx 빛 (단수 대격)
lucerent	lūceō 빛나다 (접속법 3인칭 복수 미완료)
luminare	lūmināre 광명체 (중성 단수 주격·대격)
luminaria	lūmināre 광명체 (중성 복수 주격·대격)
lux	lūx 빛 (단수 주격)
magna	magnus 큰 (중성 복수 대격)
majus	maior 더 큰 (중성 단수) — magnus의 비교급
mane	아침 (변화하지 않는 중성 명사)
maria	mare 바다 (중성 복수 대격) — 여기서는 이름 "바다"
maris	mare 바다 (단수 속격)
masculum	masculus 남자 (단수 대격)
medio	medium 가운데 (단수 탈격)
minus	minor 더 작은 (중성 단수) — parvus의 비교급
motabilem	mōtābilis 움직이는 (단수 대격)
moventur	moveō 움직이다 (수동 3인칭 복수 현재) — "움직이는"
movetur	moveō 움직이다 (수동 3인칭 단수 현재)
multiplicamini	multiplicō 불리다 (수동 명령법 2인칭 복수) — "번성하라"
multiplicentur	multiplicō 불리다 (접속법 수동 3인칭 복수 현재)
noctem	nox 밤 (단수 대격)
nocti	nox 밤 (단수 여격)
nostram	noster 우리의 (여성 단수 대격)
omne	omnis 모든 (중성 단수 주격·대격)
omnem	omnis 모든 (단수 대격)
omnique	omnis 모든 (단수 여격) + -que
piscibus	piscis 물고기 (복수 여격)
pomiferum	pōmifer 열매 맺는 (중성 단수 대격)
posuit	pōnō 놓다 (3인칭 단수 완료)
praeessent	praesum 다스리다 (접속법 3인칭 복수 미완료)
praeesset	praesum 다스리다 (접속법 3인칭 단수 미완료)
praesit	praesum 다스리다 (접속법 3인칭 단수 현재)
principio	principium 처음 (단수 탈격) — in principio "태초에"
producant	prōdūcō 내다·낳다 (접속법 3인칭 복수 현재)
producat	prōdūcō 내다·낳다 (접속법 3인칭 단수 현재)
produxerant	prōdūcō 내다·낳다 (3인칭 복수 과거완료)
protulit	prōferō 내놓다 (3인칭 단수 완료)
quae	quī 관계대명사 (여성 주격 / 중성 복수)
quam	quī 관계대명사 (여성 단수 대격)
quartus	quartus 넷째
quibus	quī 관계대명사 (복수 탈격)
quintus	quintus 다섯째
quod	quī 관계대명사 (중성) / ~라는 것 (접속사)
quoque	또한
replete	repleō 채우다 (명령법 2인칭 복수) — "채워라"
reptile	rēptile 기는 것 (중성 단수 주격·대격)
reptili	rēptile 기는 것 (단수 여격)
reptilia	rēptile 기는 것 (중성 복수 대격)
secundum	~에 따라 (전치사, 대격 지배)
secundus	secundus 둘째
semen	sēmen 씨 (중성 단수 주격·대격)
sementem	sēmentis 씨앗 (단수 대격)
semetipsis	sē + met + ipse 그들 자신 (복수 탈격)
semetipso	sē + met + ipse 그 자신 (단수 탈격)
sextus	sextus 여섯째
signa	signum 표징 (중성 복수 대격)
similitudinem	similitūdō 닮음 (단수 대격)
sint	sum 이다 (접속법 3인칭 복수 현재)
sit	sum 이다 (접속법 3인칭 단수 현재)
speciem	speciēs 종류·모양 (단수 대격)
species	speciēs 종류 (단수 주격 / 복수 주격·대격)
spiritus	spīritus 숨·영 (단수 주격)
stellas	stēlla 별 (복수 대격)
suam	suus 자기의 (여성 단수 대격)
suas	suus 자기의 (여성 복수 대격)
sub	~아래 (전치사, 탈격·대격 지배)
subjicite	subiciō 복종시키다 (명령법 2인칭 복수)
sui	suus 자기의 (남성·중성 단수 속격)
sunt	sum 이다·있다 (3인칭 복수 현재)
suo	suus 자기의 (단수 탈격)
super	~위에 (전치사, 대격 지배)
suum	suus 자기의 (남성 단수 대격 / 중성 단수)
tempora	tempus 때 (중성 복수 대격)
tenebrae	tenebrae 어둠 (복수 주격 · 복수로만 쓰는 명사)
tenebras	tenebrae 어둠 (복수 대격)
tenebris	tenebrae 어둠 (복수 탈격)
terra	terra 땅 (단수 주격·탈격)
terrae	terra 땅 (단수 속격·여격 / 복수 주격)
terram	terra 땅 (단수 대격)
tertius	tertius 셋째
universa	ūniversus 온·전체의 (중성 복수 대격)
universaeque	ūniversus 온 (여성 단수 여격) + -que
universis	ūniversus 온 (복수 여격)
unum	ūnus 하나 (남성 단수 대격)
unumquodque	ūnusquisque 각각의 것 (중성 단수 대격)
unus	ūnus 하나 (남성 단수 주격)
ut	~하도록 (접속법과 함께 쓰는 접속사)
vacua	vacuus 텅 빈 (여성 단수 주격)
valde	매우, 몹시
vero	그런데, 참으로
vescendum	vescor 먹다 (동명사 대격) — ad vescendum "먹을 것으로"
vespere	vesper 저녁 (단수 탈격) — "저녁이 되고"
vidit	videō 보다 (3인칭 단수 완료)
viditque	그리고 보았다
virentem	vireō 푸르다 (현재분사 대격) — "푸른"
vivens	vīvō 살다 (현재분사 주격) — "살아 있는"
viventem	vīvō 살다 (현재분사 대격) — "살아 있는"
viventis	vīvō 살다 (현재분사 속격) — "살아 있는"
vobis	tū 너희 (복수 여격) — "너희에게"
vocavit	vocō 부르다 (3인칭 단수 완료)
vocavitque	그리고 불렀다
volatile	volātile 나는 것·새 (중성 단수 주격·대격)
volatilibus	volātile 나는 것·새 (복수 여격)
volucri	volucris 새 (단수 여격)
